img num: 0 rightLeft, upDown, forwardBack, yaw:
img num: 90 rightLeft, upDown, forwardBack, yaw:
[-9.28956, -10.8046, 66.3288, -7]
img num: 91 rightLeft, upDown, forwardBack, yaw:
[-5.6191, -12.1688, 65.8144, -4]
img num: 92 rightLeft, upDown, forwardBack, yaw:
[-8.37476, -7.4881, 65.3524, -8]
img num: 93 rightLeft, upDown, forwardBack, yaw:
[-8.36986, -6.44661, 65.309, -8]
img num: 94 rightLeft, upDown, forwardBack, yaw:
[-5.50804, -5.05089, 65.0045, -6]
img num: 95 rightLeft, upDown, forwardBack, yaw:
[-4.91595, -7.05728, 64.2271, -6]
img num: 96 rightLeft, upDown, forwardBack, yaw:
[-0.720313, -7.92783, 64.0539, -4]
img num: 97 rightLeft, upDown, forwardBack, yaw:
[-1.68853, -6.82736, 64.115, -5]
img num: 98 rightLeft, upDown, forwardBack, yaw:
[1.0784, 1.92643, 64.7724, -4]
img num: 99 rightLeft, upDown, forwardBack, yaw:
[0.25034, -7.7081, 64.3424, -5]
img num: 100 rightLeft, upDown, forwardBack, yaw:
[-1.32824, -2.34651, 65.0724, -7]
img num: 101 rightLeft, upDown, forwardBack, yaw:
[1.39209, -6.84909, 64.6211, -5]
img num: 102 rightLeft, upDown, forwardBack, yaw:
[1.83325, -6.13588, 64.7436, -6]
img num: 103 rightLeft, upDown, forwardBack, yaw:
[2.06881, -5.77863, 64.802, -6]
img num: 104 rightLeft, upDown, forwardBack, yaw:
[-0.964608, 1.51778, 65.707, -8]
img num: 105 rightLeft, upDown, forwardBack, yaw:
[1.61827, -9.65723, 65.2984, -6]
img num: 106 rightLeft, upDown, forwardBack, yaw:
[2.01681, -12.4904, 64.77, -6]
img num: 107 rightLeft, upDown, forwardBack, yaw:
[1.07195, -4.91446, 66.994, -7]
img num: 108 rightLeft, upDown, forwardBack, yaw:
[4.22023, -3.39172, 67.3103, -4]
img num: 109 rightLeft, upDown, forwardBack, yaw:
[3.63253, -8.28599, 66.9098, -5]
img num: 110 rightLeft, upDown, forwardBack, yaw:
[0.766821, -3.94141, 67.4016, -7]
img num: 111 rightLeft, upDown, forwardBack, yaw:
[4.36706, -4.88429, 67.0153, -3]
img num: 112 rightLeft, upDown, forwardBack, yaw:
[1.15167, -2.73405, 67.5119, -6]
img num: 113 rightLeft, upDown, forwardBack, yaw:
[2.67993, 1.10555, 67.4531, -4]
img num: 114 rightLeft, upDown, forwardBack, yaw:
[0.0396098, 1.35099, 66.6606, -6]
img num: 115 rightLeft, upDown, forwardBack, yaw:
[-0.246687, 1.67584, 66.0306, -6]
img num: 116 rightLeft, upDown, forwardBack, yaw:
[1.66474, -1.17381, 65.6202, -3]
img num: 117 rightLeft, upDown, forwardBack, yaw:
[-6.58409, -0.544805, 64.9849, -10]
img num: 118 rightLeft, upDown, forwardBack, yaw:
[-5.33436, -1.25079, 64.9621, -9]
img num: 119 rightLeft, upDown, forwardBack, yaw:
[-1.76412, -0.382029, 65.3303, -6]
img num: 120 rightLeft, upDown, forwardBack, yaw:
[-1.91237, 4.64991, 64.9913, -5]
img num: 121 rightLeft, upDown, forwardBack, yaw:
[1.93323, 7.06775, 64.2663, -2]
